City,Customer ID,Customer Name,Segment,Country,State,Postal Code,Region
Los Angeles,NL-18310,Nancy Lomonaco,Home Office,United States,California,90049,West
Superior,EM-14140,Eugene Moren,Home Office,United States,Wisconsin,54880,Central
Los Angeles,JG-15310,Jason Gross,Corporate,United States,California,90032,West
Arlington,EB-13750,Edward Becker,Corporate,United States,Virginia,22204,South
Houston,AT-10735,Annie Thurman,Consumer,United States,Texas,77041,Central
Decatur,BP-11290,Beth Paige,Consumer,United States,Illinois,62521,Central
New York City,NM-18520,Neoma Murray,Consumer,United States,New York,10011,East
Philadelphia,KC-16255,Karen Carlisle,Corporate,United States,Pennsylvania,19120,East
Seattle,EH-13765,Edward Hooks,Corporate,United States,Washington,98115,West
Los Angeles,CP-12340,Christine Phan,Corporate,United States,California,90049,West
Springfield,KD-16270,Karen Daniels,Consumer,United States,Virginia,22153,South
Chicago,KL-16645,Ken Lonsdale,Consumer,United States,Illinois,60610,Central
New York City,EN-13780,Edward Nazzal,Consumer,United States,New York,10035,East
Philadelphia,JS-15940,Joni Sundaresam,Home Office,United States,Pennsylvania,19134,East
Newark,JL-15235,Janet Lee,Consumer,United States,Delaware,19711,East
Santa Clara,CK-12205,Chloris Kastensmidt,Consumer,United States,California,95051,West
Seattle,KB-16600,Ken Brennan,Corporate,United States,Washington,98105,West
Chicago,RC-19825,Roy Collins,Consumer,United States,Illinois,60610,Central
Lowell,DB-13060,Dave Brooks,Consumer,United States,Massachusetts,1852,East
Lowell,SC-20230,Scot Coram,Corporate,United States,Massachusetts,1852,East
Little Rock,CK-12595,Clytie Kelty,Consumer,United States,Arkansas,72209,South
Los Angeles,RB-19795,Ross Baird,Home Office,United States,California,90036,West
Santa Barbara,ME-17320,Maria Etezadi,Home Office,United States,California,93101,West
Fairfield,LP-17095,Liz Preis,Consumer,United States,Ohio,45014,East
New York City,RD-19810,Ross DeVincentis,Home Office,United States,New York,10035,East
Bakersfield,FM-14290,Frank Merwin,Home Office,United States,California,93309,West
Philadelphia,RS-19870,Roy Skaria,Home Office,United States,Pennsylvania,19120,East
Los Angeles,GM-14680,Greg Matthias,Consumer,United States,California,90045,West
Tallahassee,TC-21295,Toby Carlisle,Consumer,United States,Florida,32303,South
San Francisco,DB-13210,Dean Braden,Consumer,United States,California,94109,West
Minneapolis,BF-11215,Benjamin Farhat,Home Office,United States,Minnesota,55407,Central
Los Angeles,OT-18730,Olvera Toch,Consumer,United States,California,90045,West
Philadelphia,JB-16000,Joy Bell-,Consumer,United States,Pennsylvania,19140,East
Arlington,MZ-17515,Mary Zewe,Corporate,United States,Texas,76017,Central
New York City,ES-14020,Erica Smith,Consumer,United States,New York,10035,East
Seattle,SE-20110,Sanjit Engle,Consumer,United States,Washington,98103,West
Los Angeles,SV-20365,Seth Vernon,Consumer,United States,California,90049,West
Los Angeles,DV-13045,Darrin Van Huff,Corporate,United States,California,90036,West
Decatur,SC-20770,Stewart Carmichael,Corporate,United States,Alabama,35601,South
Wilmington,SC-20725,Steven Cartwright,Consumer,United States,Delaware,19805,East
Chicago,PO-19180,Philisse Overcash,Home Office,United States,Illinois,60623,Central
Chicago,CR-12730,Craig Reiter,Consumer,United States,Illinois,60610,Central
Long Beach,CB-12415,Christy Brittain,Consumer,United States,New York,11561,East
Pasadena,EA-14035,Erin Ashbrook,Corporate,United States,California,91104,West
Houston,AW-10930,Arthur Wiediger,Home Office,United States,Texas,77070,Central
Jackson,SC-20050,Sample Company A,Home Office,United States,Michigan,49201,Central
Wichita,SS-20590,Sonia Sunley,Consumer,United States,Kansas,67212,Central
New York City,GT-14710,Greg Tran,Consumer,United States,New York,10024,East
San Francisco,PV-18985,Paul Van Hugh,Home Office,United States,California,94122,West
Los Angeles,MH-17290,Marc Harrigan,Home Office,United States,California,90036,West
Anaheim,EB-13705,Ed Braxton,Corporate,United States,California,92804,West
Philadelphia,JS-15685,Jim Sink,Corporate,United States,Pennsylvania,19140,East
Boca Raton,VM-21835,Vivian Mathis,Consumer,United States,Florida,33433,South
Seattle,AR-10825,Anthony Rawles,Corporate,United States,Washington,98103,West
Houston,LS-17245,Lynn Smith,Consumer,United States,Texas,77036,Central
Los Angeles,BD-11320,Bill Donatelli,Consumer,United States,California,90045,West
Chattanooga,JL-15175,James Lanier,Home Office,United States,Tennessee,37421,South
Newark,JJ-15445,Jennifer Jackson,Consumer,United States,Delaware,19711,East
Troy,TB-21055,Ted Butterfield,Consumer,United States,New York,12180,East
San Diego,IG-15085,Ivan Gibson,Consumer,United States,California,92024,West
New York City,FM-14380,Fred McMath,Consumer,United States,New York,10024,East
Los Angeles,MV-18190,Mike Vittorini,Consumer,United States,California,90045,West
Longmont,LC-16885,Lena Creighton,Consumer,United States,Colorado,80501,West
Waterbury,CP-12340,Christine Phan,Corporate,United States,Connecticut,6708,East
Rochester,DM-13345,Denise Monton,Corporate,United States,New York,14609,East
Frankfort,BT-11440,Bobby Trafton,Consumer,United States,Illinois,60423,Central
San Francisco,KC-16255,Karen Carlisle,Corporate,United States,California,94110,West
Dover,LH-16900,Lena Hernandez,Consumer,United States,Delaware,19901,East
Salinas,DP-13105,Dave Poirier,Corporate,United States,California,93905,West
Philadelphia,CG-12040,Catherine Glotzbach,Home Office,United States,Pennsylvania,19120,East
Pasadena,RC-19825,Roy Collins,Consumer,United States,California,91104,West
Carrollton,EA-14035,Erin Ashbrook,Corporate,United States,Texas,75007,Central
Oklahoma City,BS-11365,Bill Shonely,Corporate,United States,Oklahoma,73120,Central
New York City,AS-10090,Adam Shillingsburg,Consumer,United States,New York,10011,East
Chicago,KB-16600,Ken Brennan,Corporate,United States,Illinois,60623,Central
New York City,IM-15070,Irene Maddox,Consumer,United States,New York,10009,East
Buffalo,MG-17695,Maureen Gnade,Consumer,United States,New York,14215,East
San Francisco,RD-19900,Ruben Dartt,Consumer,United States,California,94109,West
New York City,SM-20005,Sally Matthias,Consumer,United States,New York,10035,East
San Diego,BD-11320,Bill Donatelli,Consumer,United States,California,92024,West
Richmond,HL-15040,Hunter Lopez,Consumer,United States,Indiana,47374,Central
Houston,DH-13075,Dave Hallsten,Corporate,United States,Texas,77095,Central
San Diego,MJ-17740,Max Jones,Consumer,United States,California,92037,West
York,TS-21160,Theresa Swint,Corporate,United States,Pennsylvania,17403,East
Los Angeles,AS-10240,Alan Shonely,Consumer,United States,California,90049,West
Houston,LC-17140,Logan Currie,Consumer,United States,Texas,77070,Central
New York City,JG-15805,John Grady,Corporate,United States,New York,10024,East
Providence,GM-14500,Gene McClure,Consumer,United States,Rhode Island,2908,East
Plano,AB-10255,Alejandro Ballentine,Home Office,United States,Texas,75023,Central
San Francisco,DN-13690,Duane Noonan,Consumer,United States,California,94109,West
Chicago,LD-16855,Lela Donovan,Corporate,United States,Illinois,60653,Central
Roseville,SN-20560,Skye Norling,Home Office,United States,Michigan,48066,Central
Los Angeles,AH-10075,Adam Hart,Corporate,United States,California,90036,West
New York City,VP-21760,Victoria Pisteka,Corporate,United States,New York,10035,East
Atlanta,PF-19225,Phillip Flathmann,Consumer,United States,Georgia,30318,South
Highland Park,KH-16330,Katharine Harms,Corporate,United States,Illinois,60035,Central
Chicago,RF-19735,Roland Fjeld,Consumer,United States,Illinois,60610,Central
Los Angeles,CS-12250,Chris Selesnick,Corporate,United States,California,90032,West
Paterson,BP-11155,Becky Pak,Consumer,United States,New Jersey,7501,East
Florence,Co-12640,Corey-Lock,Consumer,United States,South Carolina,29501,South
Sandy Springs,PF-19165,Philip Fox,Consumer,United States,Georgia,30328,South
Aurora,AH-10120,Adrian Hane,Home Office,United States,Illinois,60505,Central
Columbia,JF-15355,Jay Fein,Consumer,United States,South Carolina,29203,South
Lehi,EM-14140,Eugene Moren,Home Office,United States,Utah,84043,West
New York City,SU-20665,Stephanie Ulpright,Home Office,United States,New York,10009,East
Seattle,NZ-18565,Nick Zandusky,Home Office,United States,Washington,98115,West
Los Angeles,GB-14530,George Bell,Corporate,United States,California,90004,West
Arlington,KH-16360,Katherine Hughes,Consumer,United States,Virginia,22204,South
Huntsville,EA-14035,Erin Ashbrook,Corporate,United States,Texas,77340,Central
Los Angeles,GT-14755,Guy Thornton,Consumer,United States,California,90049,West
New York City,DK-13225,Dean Katz,Corporate,United States,New York,10035,East
Philadelphia,FM-14215,Filia McAdams,Corporate,United States,Pennsylvania,19143,East
San Francisco,AA-10645,Anna Andreadi,Consumer,United States,California,94109,West
Seattle,RB-19465,Rick Bensley,Home Office,United States,Washington,98103,West
Hialeah,SC-20695,Steve Chapman,Corporate,United States,Florida,33012,South
San Jose,RM-19375,Raymond Messe,Consumer,United States,California,95123,West
Aurora,BF-11020,Barry Französisch,Corporate,United States,Illinois,60505,Central
Los Angeles,CC-12370,Christopher Conant,Consumer,United States,California,90045,West
Philadelphia,CC-12100,Chad Cunningham,Home Office,United States,Pennsylvania,19120,East
Orem,MJ-17740,Max Jones,Consumer,United States,Utah,84057,West
Arlington,SC-20230,Scot Coram,Corporate,United States,Texas,76017,Central
Broomfield,JE-15715,Joe Elijah,Consumer,United States,Colorado,80020,West
Seattle,CC-12220,Chris Cortes,Consumer,United States,Washington,98105,West
Jacksonville,ZD-21925,Zuschuss Donatelli,Consumer,United States,Florida,32216,South
Providence,TH-21115,Thea Hudgings,Corporate,United States,Rhode Island,2908,East
New York City,JD-15895,Jonathan Doherty,Corporate,United States,New York,10035,East
Mesa,AA-10375,Allen Armold,Consumer,United States,Arizona,85204,West
Dallas,LH-17155,Logan Haushalter,Consumer,United States,Texas,75081,Central
Yuma,NZ-18565,Nick Zandusky,Home Office,United States,Arizona,85364,West
Philadelphia,EA-14035,Erin Ashbrook,Corporate,United States,Pennsylvania,19143,East
Los Angeles,KH-16690,Kristen Hastings,Corporate,United States,California,90008,West
Tucson,ES-14080,Erin Smith,Corporate,United States,Arizona,85705,West
Philadelphia,TP-21130,Theone Pippenger,Consumer,United States,Pennsylvania,19134,East
New York City,SW-20755,Steven Ward,Corporate,United States,New York,10009,East
Houston,BM-11785,Bryan Mills,Consumer,United States,Texas,77036,Central
New York City,DR-12880,Dan Reichenbach,Corporate,United States,New York,10009,East
Huntsville,RH-19600,Rob Haberlin,Consumer,United States,Alabama,35810,South
Auburn,RE-19450,Richard Eichhorn,Consumer,United States,New York,13021,East
Irving,JS-15880,John Stevenson,Consumer,United States,Texas,75061,Central
Columbus,AR-10570,Anemone Ratner,Consumer,United States,Georgia,31907,South
San Francisco,RB-19360,Raymond Buch,Consumer,United States,California,94122,West
Provo,RH-19510,Rick Huthwaite,Home Office,United States,Utah,84604,West
Portland,MC-17425,Mark Cousins,Corporate,United States,Oregon,97206,West
Grand Prairie,AM-10360,Alice McCarthy,Corporate,United States,Texas,75051,Central
Philadelphia,CK-12205,Chloris Kastensmidt,Consumer,United States,Pennsylvania,19120,East
Houston,MC-17425,Mark Cousins,Corporate,United States,Texas,77036,Central
Columbia,JD-15895,Jonathan Doherty,Corporate,United States,South Carolina,29203,South
Los Angeles,RA-19885,Ruben Ausman,Corporate,United States,California,90049,West
Perth Amboy,MC-17590,Matt Collister,Corporate,United States,New Jersey,8861,East
Springfield,AA-10480,Andrew Allen,Consumer,United States,Missouri,65807,Central
Seattle,DK-13375,Dennis Kane,Consumer,United States,Washington,98105,West
New York City,AT-10735,Annie Thurman,Consumer,United States,New York,10024,East
Denver,LS-16945,Linda Southworth,Corporate,United States,Colorado,80219,West
Bowling Green,KH-16330,Katharine Harms,Corporate,United States,Kentucky,42104,South
Glendale,JP-15460,Jennifer Patt,Corporate,United States,Arizona,85301,West
Dallas,SV-20935,Susan Vittorini,Consumer,United States,Texas,75217,Central
Phoenix,NP-18670,Nora Paige,Consumer,United States,Arizona,85023,West
Philadelphia,NK-18490,Neil Knudson,Home Office,United States,Pennsylvania,19140,East
Hattiesburg,JS-16030,Joy Smith,Consumer,United States,Mississippi,39401,South
San Francisco,TC-21535,Tracy Collins,Home Office,United States,California,94110,West
Long Beach,PJ-19015,Pauline Johnson,Consumer,United States,New York,11561,East
Philadelphia,CC-12610,Corey Catlett,Corporate,United States,Pennsylvania,19134,East
Newark,JG-15310,Jason Gross,Corporate,United States,Ohio,43055,East
Concord,BP-11290,Beth Paige,Consumer,United States,North Carolina,28027,South
Roseville,DK-12835,Damala Kotsonis,Corporate,United States,California,95661,West
San Francisco,DL-13495,Dionis Lloyd,Corporate,United States,California,94110,West
Allentown,CJ-12010,Caroline Jumper,Consumer,United States,Pennsylvania,18103,East
Westland,DK-13375,Dennis Kane,Consumer,United States,Michigan,48185,Central
Sparks,KN-16705,Kristina Nunn,Home Office,United States,Nevada,89431,West
Columbia,MF-17665,Maureen Fritzler,Corporate,United States,Maryland,21044,East
Tampa,JB-15400,Jennifer Braxton,Corporate,United States,Florida,33614,South
Rockford,NF-18475,Neil Französisch,Home Office,United States,Illinois,61107,Central
Mcallen,CK-12205,Chloris Kastensmidt,Consumer,United States,Texas,78501,Central
Houston,IL-15100,Ivan Liston,Consumer,United States,Texas,77041,Central
New York City,DB-12970,Darren Budd,Corporate,United States,New York,10035,East
Lafayette,JG-15160,James Galang,Consumer,United States,Louisiana,70506,South
Costa Mesa,SC-20095,Sanjit Chand,Consumer,United States,California,92627,West
Columbus,CB-12415,Christy Brittain,Consumer,United States,Ohio,43229,East
Los Angeles,LB-16735,Larry Blacks,Consumer,United States,California,90032,West
Toledo,RR-19525,Rick Reed,Corporate,United States,Ohio,43615,East
Houston,KH-16630,Ken Heidel,Corporate,United States,Texas,77070,Central
Jackson,MT-17815,Meg Tillman,Consumer,United States,Mississippi,39212,South
Arlington,KM-16375,Katherine Murray,Home Office,United States,Virginia,22204,South
Houston,BE-11335,Bill Eplett,Home Office,United States,Texas,77041,Central
San Francisco,BC-11125,Becky Castell,Home Office,United States,California,94122,West
Milwaukee,SH-19975,Sally Hughsby,Corporate,United States,Wisconsin,53209,Central
Holland,SC-20680,Steve Carroll,Home Office,United States,Michigan,49423,Central
Los Angeles,KM-16660,Khloe Miller,Consumer,United States,California,90032,West
Bethlehem,OT-18730,Olvera Toch,Consumer,United States,Pennsylvania,18018,East
Pasadena,BF-11005,Barry Franz,Home Office,United States,Texas,77506,Central
Philadelphia,JO-15145,Jack O'Briant,Corporate,United States,Pennsylvania,19140,East
Pensacola,PW-19240,Pierre Wener,Consumer,United States,Florida,32503,South
Charlotte,RH-19555,Ritsa Hightower,Consumer,United States,North Carolina,28205,South
Houston,LS-16975,Lindsay Shagiari,Home Office,United States,Texas,77070,Central
Chicago,KH-16360,Katherine Hughes,Consumer,United States,Illinois,60623,Central
San Francisco,RW-19630,Rob Williams,Corporate,United States,California,94122,West
Detroit,KL-16645,Ken Lonsdale,Consumer,United States,Michigan,48205,Central
San Francisco,AH-10690,Anna Häberlin,Corporate,United States,California,94122,West
Amarillo,SG-20890,Susan Gilcrest,Corporate,United States,Texas,79109,Central
Riverside,TS-21205,Thomas Seio,Corporate,United States,California,92503,West
Philadelphia,KM-16660,Khloe Miller,Consumer,United States,Pennsylvania,19140,East
Los Angeles,BF-11020,Barry Französisch,Corporate,United States,California,90032,West
Tulsa,AG-10330,Alex Grayson,Consumer,United States,Oklahoma,74133,Central
Suffolk,ML-17755,Max Ludwig,Home Office,United States,Virginia,23434,South
Peoria,RA-19285,Ralph Arnett,Consumer,United States,Illinois,61604,Central
Sacramento,LC-16930,Linda Cazamias,Corporate,United States,California,95823,West
Huntsville,MF-17665,Maureen Fritzler,Corporate,United States,Alabama,35810,South
New York City,AH-10690,Anna Häberlin,Corporate,United States,New York,10024,East
Los Angeles,VG-21790,Vivek Gonzalez,Consumer,United States,California,90032,West
New York City,LM-17065,Liz MacKendrick,Consumer,United States,New York,10024,East
Edmonds,DW-13585,Dorothy Wardle,Corporate,United States,Washington,98026,West
Dallas,JF-15565,Jill Fjeld,Consumer,United States,Texas,75081,Central
Jackson,CM-12655,Corinna Mitchell,Home Office,United States,Mississippi,39212,South
Los Angeles,CA-12055,Cathy Armstrong,Home Office,United States,California,90036,West
Oklahoma City,CC-12145,Charles Crestani,Consumer,United States,Oklahoma,73120,Central
Fayetteville,HA-14920,Helen Andreada,Consumer,United States,North Carolina,28314,South
Hendersonville,GH-14410,Gary Hansen,Home Office,United States,Tennessee,37075,South
Tulsa,MT-18070,Michelle Tran,Home Office,United States,Oklahoma,74133,Central
Des Moines,LC-16870,Lena Cacioppo,Consumer,United States,Iowa,50315,Central
Carrollton,CM-12235,Chris McAfee,Consumer,United States,Texas,75007,Central
New York City,BC-11125,Becky Castell,Home Office,United States,New York,10011,East
Lakeland,CS-12490,Cindy Schnelling,Corporate,United States,Florida,33801,South
New York City,NP-18700,Nora Preis,Consumer,United States,New York,10024,East
Philadelphia,DB-13270,Deborah Brumfield,Home Office,United States,Pennsylvania,19134,East
Jacksonville,EM-14065,Erin Mull,Consumer,United States,North Carolina,28540,South
West Allis,TS-21160,Theresa Swint,Corporate,United States,Wisconsin,53214,Central
Kenner,HG-15025,Hunter Glantz,Consumer,United States,Louisiana,70065,South
Springfield,RF-19840,Roy Französisch,Consumer,United States,Virginia,22153,South
Irving,CT-11995,Carol Triggs,Consumer,United States,Texas,75061,Central
Los Angeles,JM-15580,Jill Matthias,Consumer,United States,California,90045,West
Nashville,TR-21325,Toby Ritter,Consumer,United States,Tennessee,37211,South
Akron,SP-20650,Stephanie Phelps,Corporate,United States,Ohio,44312,East
Aurora,ME-17725,Max Engle,Consumer,United States,Colorado,80013,West
Oakland,CY-12745,Craig Yedwab,Corporate,United States,California,94601,West
Tallahassee,JC-15775,John Castell,Consumer,United States,Florida,32303,South
Fayetteville,CC-12370,Christopher Conant,Consumer,United States,North Carolina,28314,South
Los Angeles,BD-11320,Bill Donatelli,Consumer,United States,California,90004,West
San Francisco,PK-19075,Pete Kriz,Consumer,United States,California,94110,West
Los Angeles,AO-10810,Anthony O'Donnell,Corporate,United States,California,90045,West
Davis,JP-15520,Jeremy Pistek,Consumer,United States,California,95616,West
Seattle,NM-18520,Neoma Murray,Consumer,United States,Washington,98105,West
New York City,HW-14935,Helen Wasserman,Corporate,United States,New York,10024,East
New York City,GG-14650,Greg Guthrie,Corporate,United States,New York,10035,East
Edinburg,NF-18385,Natalie Fritzler,Consumer,United States,Texas,78539,Central
Houston,MA-17560,Matt Abelman,Home Office,United States,Texas,77070,Central
New York City,RP-19390,Resi Pölking,Consumer,United States,New York,10009,East
Detroit,DW-13480,Dianna Wilson,Home Office,United States,Michigan,48205,Central
Greenville,SU-20665,Stephanie Ulpright,Home Office,United States,North Carolina,27834,South
Philadelphia,RB-19465,Rick Bensley,Home Office,United States,Pennsylvania,19143,East
Los Angeles,SC-20230,Scot Coram,Corporate,United States,California,90004,West
Seattle,RP-19270,Rachel Payne,Corporate,United States,Washington,98115,West
New York City,JK-15370,Jay Kimmel,Consumer,United States,New York,10035,East
Columbus,CR-12730,Craig Reiter,Consumer,United States,Ohio,43229,East
Houston,DD-13570,Dorothy Dickinson,Consumer,United States,Texas,77041,Central
Gresham,SG-20470,Sheri Gordon,Consumer,United States,Oregon,97030,West
Seattle,DG-13300,Deirdre Greer,Corporate,United States,Washington,98105,West
Fort Collins,TC-21475,Tony Chapman,Home Office,United States,Colorado,80525,West
Los Angeles,PW-19030,Pauline Webber,Corporate,United States,California,90049,West
Pharr,MH-18115,Mick Hernandez,Home Office,United States,Texas,78577,Central
Seattle,MS-17770,Maxwell Schwartz,Consumer,United States,Washington,98105,West
New York City,JP-15460,Jennifer Patt,Corporate,United States,New York,10035,East
Sheboygan,MA-17560,Matt Abelman,Home Office,United States,Wisconsin,53081,Central
San Jose,RF-19735,Roland Fjeld,Consumer,United States,California,95123,West
Pasadena,LC-16930,Linda Cazamias,Corporate,United States,Texas,77506,Central
Seattle,CC-12145,Charles Crestani,Consumer,United States,Washington,98103,West
San Diego,DJ-13510,Don Jones,Corporate,United States,California,92037,West
Philadelphia,VG-21805,Vivek Grady,Corporate,United States,Pennsylvania,19140,East
Los Angeles,TS-21430,Tom Stivers,Corporate,United States,California,90045,West
New York City,DR-12880,Dan Reichenbach,Corporate,United States,New York,10035,East
Franklin,SS-20515,Shirley Schmidt,Home Office,United States,Wisconsin,53132,Central
Detroit,AA-10480,Andrew Allen,Consumer,United States,Michigan,48234,Central
Athens,XP-21865,Xylona Preis,Consumer,United States,Georgia,30605,South
New York City,KD-16615,Ken Dana,Corporate,United States,New York,10024,East
Miami,SV-20815,Stuart Van,Corporate,United States,Florida,33142,South
Dallas,SS-20875,Sung Shariari,Consumer,United States,Texas,75220,Central
Quincy,TB-21055,Ted Butterfield,Consumer,United States,Massachusetts,2169,East
Houston,TB-21355,Todd Boyes,Corporate,United States,Texas,77041,Central
Hollywood,EM-13825,Elizabeth Moffitt,Corporate,United States,Florida,33021,South
Englewood,CS-12130,Chad Sievert,Consumer,United States,Colorado,80112,West
Dallas,TP-21415,Tom Prescott,Consumer,United States,Texas,75081,Central
Cincinnati,EB-13750,Edward Becker,Corporate,United States,Ohio,45231,East
Chicago,RB-19465,Rick Bensley,Home Office,United States,Illinois,60610,Central
Concord,AB-10060,Adam Bellavance,Home Office,United States,New Hampshire,3301,East
New York City,MO-17800,Meg O'Connel,Home Office,United States,New York,10024,East
Philadelphia,GB-14530,George Bell,Corporate,United States,Pennsylvania,19120,East
Philadelphia,PO-18850,Patrick O'Brill,Consumer,United States,Pennsylvania,19143,East
Los Angeles,BG-11740,Bruce Geld,Consumer,United States,California,90008,West
Waco,TP-21130,Theone Pippenger,Consumer,United States,Texas,76706,Central
New York City,AB-10060,Adam Bellavance,Home Office,United States,New York,10009,East
San Francisco,CV-12805,Cynthia Voltz,Corporate,United States,California,94110,West
Philadelphia,DK-13225,Dean Katz,Corporate,United States,Pennsylvania,19140,East
New York City,PG-18820,Patrick Gardner,Consumer,United States,New York,10011,East
Detroit,JA-15970,Joseph Airdo,Consumer,United States,Michigan,48227,Central
Huntington Beach,LB-16795,Laurel Beltran,Home Office,United States,California,92646,West
New York City,KD-16270,Karen Daniels,Consumer,United States,New York,10024,East
Madison,SS-20590,Sonia Sunley,Consumer,United States,Wisconsin,53711,Central
San Francisco,SZ-20035,Sam Zeldin,Home Office,United States,California,94122,West
Chicago,RL-19615,Rob Lucas,Consumer,United States,Illinois,60623,Central
Chicago,TA-21385,Tom Ashbrook,Home Office,United States,Illinois,60653,Central
Charlotte,JE-15715,Joe Elijah,Consumer,United States,North Carolina,28205,South
Des Moines,TG-21310,Toby Gnade,Consumer,United States,Washington,98198,West
Houston,RD-19810,Ross DeVincentis,Home Office,United States,Texas,77070,Central
Des Moines,BM-11140,Becky Martin,Consumer,United States,Washington,98198,West
Los Angeles,LR-16915,Lena Radford,Consumer,United States,California,90036,West
Philadelphia,PK-18910,Paul Knutson,Home Office,United States,Pennsylvania,19143,East
Aurora,JK-16120,Julie Kriz,Home Office,United States,Illinois,60505,Central
Chicago,CS-11950,Carlos Soltero,Consumer,United States,Illinois,60610,Central
Middletown,FM-14215,Filia McAdams,Corporate,United States,Connecticut,6457,East
Waukesha,JJ-15445,Jennifer Jackson,Consumer,United States,Wisconsin,53186,Central
Monroe,CY-12745,Craig Yedwab,Corporate,United States,Louisiana,71203,South
Baltimore,HF-14995,Herbert Flentye,Consumer,United States,Maryland,21215,East
Chicago,RB-19570,Rob Beeghly,Consumer,United States,Illinois,60610,Central
Cincinnati,MH-17620,Matt Hagelstein,Corporate,United States,Ohio,45231,East
New York City,CV-12295,Christina VanderZanden,Consumer,United States,New York,10011,East
Knoxville,DL-13315,Delfina Latchford,Consumer,United States,Tennessee,37918,South
Georgetown,AA-10645,Anna Andreadi,Consumer,United States,Kentucky,40324,South
Woodbury,RP-19855,Roy Phan,Corporate,United States,Minnesota,55125,Central
Springfield,MB-18085,Mick Brown,Consumer,United States,Missouri,65807,Central
Jonesboro,JP-15520,Jeremy Pistek,Consumer,United States,Arkansas,72401,South
San Francisco,IM-15055,Ionia McGrath,Consumer,United States,California,94122,West
Philadelphia,JD-15895,Jonathan Doherty,Corporate,United States,Pennsylvania,19140,East
Detroit,PK-19075,Pete Kriz,Consumer,United States,Michigan,48227,Central
Cedar Rapids,TR-21325,Toby Ritter,Consumer,United States,Iowa,52402,Central
Olathe,BE-11455,Brad Eason,Home Office,United States,Kansas,66062,Central
Austin,AR-10825,Anthony Rawles,Corporate,United States,Texas,78745,Central
San Diego,ML-17395,Marina Lichtenstein,Corporate,United States,California,92105,West
Philadelphia,JC-15340,Jasper Cacioppo,Consumer,United States,Pennsylvania,19120,East
Johnson City,DM-13015,Darrin Martin,Consumer,United States,Tennessee,37604,South
Houston,GH-14410,Gary Hansen,Home Office,United States,Texas,77070,Central
Redondo Beach,JH-15985,Joseph Holt,Consumer,United States,California,90278,West
Houston,DM-13525,Don Miller,Corporate,United States,Texas,77070,Central
New York City,MV-17485,Mark Van Huff,Consumer,United States,New York,10011,East
San Antonio,PT-19090,Pete Takahito,Consumer,United States,Texas,78207,Central
Chesapeake,MM-17920,Michael Moore,Consumer,United States,Virginia,23320,South
Chicago,SU-20665,Stephanie Ulpright,Home Office,United States,Illinois,60653,Central
Lancaster,MD-17350,Maribeth Dona,Consumer,United States,Ohio,43130,East
Houston,EM-13825,Elizabeth Moffitt,Corporate,United States,Texas,77036,Central
Philadelphia,DB-13210,Dean Braden,Consumer,United States,Pennsylvania,19134,East
New York City,FW-14395,Fred Wasserman,Corporate,United States,New York,10011,East
Saint Paul,ER-13855,Elpida Rittenbach,Corporate,United States,Minnesota,55106,Central
New York City,MO-17500,Mary O'Rourke,Consumer,United States,New York,10035,East
Thomasville,KB-16315,Karl Braun,Consumer,United States,North Carolina,27360,South
Houston,BG-11740,Bruce Geld,Consumer,United States,Texas,77070,Central
Dallas,YC-21895,Yoseph Carroll,Corporate,United States,Texas,75217,Central
Houston,AG-10675,Anna Gayman,Consumer,United States,Texas,77036,Central
Lancaster,VM-21685,Valerie Mitchum,Home Office,United States,California,93534,West
Malden,AP-10720,Anne Pryor,Home Office,United States,Massachusetts,2148,East
Wheeling,SE-20110,Sanjit Engle,Consumer,United States,Illinois,60090,Central
New York City,MG-17875,Michael Grace,Home Office,United States,New York,10011,East
Dallas,KB-16585,Ken Black,Corporate,United States,Texas,75081,Central
Monroe,JM-15580,Jill Matthias,Consumer,United States,North Carolina,28110,South
Santa Ana,PJ-19015,Pauline Johnson,Consumer,United States,California,92704,West
Seattle,TR-21325,Toby Ritter,Consumer,United States,Washington,98103,West
Visalia,LP-17095,Liz Preis,Consumer,United States,California,93277,West
New York City,TS-21610,Troy Staebel,Consumer,United States,New York,10024,East
Stockton,AT-10735,Annie Thurman,Consumer,United States,California,95207,West
Dallas,DB-12910,Daniel Byrd,Home Office,United States,Texas,75220,Central
New York City,PN-18775,Parhena Norris,Home Office,United States,New York,10011,East
Bristol,CG-12040,Catherine Glotzbach,Home Office,United States,Tennessee,37620,South
Houston,KT-16480,Kean Thornton,Consumer,United States,Texas,77095,Central
Fort Lauderdale,SC-20695,Steve Chapman,Corporate,United States,Florida,33311,South
Edmonds,BD-11770,Bryan Davis,Consumer,United States,Washington,98026,West
Los Angeles,DV-13465,Dianna Vittorini,Consumer,United States,California,90049,West
San Diego,KC-16540,Kelly Collister,Consumer,United States,California,92037,West
Philadelphia,GD-14590,Giulietta Dortch,Corporate,United States,Pennsylvania,19143,East
Toledo,NZ-18565,Nick Zandusky,Home Office,United States,Ohio,43615,East
Newport News,JF-15565,Jill Fjeld,Consumer,United States,Virginia,23602,South
San Jose,EB-14110,Eugene Barchas,Consumer,United States,California,95123,West
Wichita,TB-21625,Trudy Brown,Consumer,United States,Kansas,67212,Central
Chicago,AS-10090,Adam Shillingsburg,Consumer,United States,Illinois,60653,Central
Phoenix,LC-16930,Linda Cazamias,Corporate,United States,Arizona,85023,West
